ID,word_count,readability,freq,aoa,prev,mtld,Story,StoryRater1,StoryRater2,StoryRater3,StoryRater4,StoryRater5,StoryRaterMean,sex,age,english,gc,gf,gr,verb_sd,open,DSI_ukwac,DSI_subtitle,DSI_baroni,DSI_glove,DSI_TASA,DSI_mean,DSI_bert
1,29,1.47887931,5.77,4.911725062,2.2836,117.74,My lover has left. I miss him so much. I write a letter with his favorite stamp pattern. I send it to an unknown place where he may stay.,3,3,1,2,3,2.4,2,19,2,11,8,14,0.8561115,41,0.772055917,0.909175401,0.912602001,0.766118211,0.989373236,0.869864953,0.782038196
2,60,4.026666667,6.173508772,4.293677226,2.327818182,48.56707317,"My mom was sending me a letter in the mail about how she wants me to come home. She ran out of stamps and had to go to the post office. While on the way to the post office, godzilla and God were having a fight. She made it to the post office, bought stamps, and could send the letter.",4,3,3,3,2,3,1,18,1,9,7,14,0.780210513,34,0.710963034,0.863542465,0.865949967,0.70984533,0.929249573,0.815910074,0.780152251
3,45,6.255555556,6.001428571,4.568594747,2.312564103,40.04733728,I had to buy a stamp at the post office. I am going to send my brother a package in the mail because I miss him and haven't seen him in forever. In the package I'm sending him a letter of everything I have experienced.,3,1,2,3,2,2.2,2,20,1,10,8,14,0.745793,40,0.773620526,0.889742351,0.902600191,0.763764333,0.938546157,0.853654712,0.774781145
4,79,4.911240506,6.125970149,4.432553978,2.346056338,66.80864198,"I decided it was time for me to send my mom and dad a letter. I have been at overnight camp for the past six weeks and have not sent them one letter home, whoops. They write to me every night; however, I never respond because they can see I am having fun from the pictures posted online. The one time I go to write them, of course, I do not have a stamp. Guess it is a sign!",4,5,5,3,4,4.2,2,18,1,12,7,21,0.81006275,42,0.718227821,0.876303412,0.881521867,0.701328414,0.968681332,0.829212569,0.803875681
5,69,8.25826087,6.174677419,4.316098078,2.296615385,30.17307692,"Rachel was sitting in her dorm and decided to write her friend Abby a letter and send it in the mail to Abby at her school in Wisconsin. Once she finished the letter she went to the post office to get a stamp for the letter. Once she got the stamp the letter was all ready to send to her friend, it was going to be a complete surprise.",3,1,2,3,2,2.2,2,18,1,8,8,18,0.787959744,39,0.740075743,0.875180485,0.86432416,0.758849251,0.938118372,0.835309602,0.780364756
6,39,3.340705128,5.984594595,4.56381827,2.355833333,53.235,"She finally found the stamp that she needed. She assembled her letter and was ready to send it. Unsure if she would get a response, she still placed it into her mailbox. All she could do now was wait.",3,1,2,2,2,2,2,18,1,10,7,18,0.798588,41,0.752910419,0.883178472,0.880271993,0.70821403,0.96518841,0.837952665,0.773127863
7,97,5.318131443,6.092386364,4.570955873,2.325505618,32.33333333,"Once upon a time there was a stamp. His name was Herold. Herold was only a little stamp, just a baby, but he was nervous about the future. His mother and father and two older brothers were already set on letters and he was the last to be chosen. His mother was a strong independent stamp. She got chosen to be used for the letter sent to Congress about the changes that needed to be made in the town of Gardenville; the town they were created. What was his destiny? What was his letter going to be?",5,5,5,5,5,5,2,21,1,13,7,NA,0.781496923,45,0.76617405,0.902474021,0.891651155,0.735645217,0.974832194,0.854155327,0.810004008
8,43,3.695523256,6.063823529,4.355507207,2.328064516,29.19728784,"I was trying to send a letter to my parents, but the mailman won't let me. I keep asking why, but he won't answer. I need to get this letter to my parents before I leave. Then I realized I forgot the stamp.",2,3,2,2,3,2.4,1,19,1,10,9,21,0.7975245,46,0.693248298,0.866232284,0.850136768,0.671277097,0.949270121,0.806032914,0.782153158
9,56,7.282857143,5.8328,4.639574244,2.2712,57,"Kristen wanted to send a letter to her boyfriend, Mike, so she asked her dorm building floor if anyone had a stamp. Her next door neighbor, Sarah, had one and knocked on Kristen's door to give her the stamp. She then got to writing her heartfelt letter to her boyfriend who was at the Naval Academy.",3,2,3,3,3,2.8,2,19,1,13,8,17,0.7959865,47,0.752415078,0.884207123,0.877091859,0.801452439,0.964646955,0.855962691,0.796886525
10,65,4.9075,6.131896552,4.293621014,2.310714286,34.35695686,"last summer i wrote a letter from camp to my family about how much I missed them. I took my very last stamp and put it on the corner of my letter. When I was walking to the mailbox to send it to them, I tripped and dropped the letter. It blew away in the wind, and I never got to send it to them.",4,5,3,3,4,3.8,2,19,1,13,9,25,NA,48,0.732395015,0.873269274,0.88759333,0.733612121,0.941568449,0.833687638,0.788422049
11,61,8.395737705,5.867586207,5.083661236,2.329152542,74.42,"the mob boss had just finished stamping the resignation form of his worker. Soon enough, the boss knew, he would have to send a cover up letter to his workers family, to notify them that he would not be returning home anytime soon.  He was a good man, but should have known better than to defy someone of such high standing.",5,5,5,5,4,4.8,1,19,1,15,7,15,0.80691575,47,0.763220859,0.906739869,0.904613703,0.772970324,0.980741776,0.865657306,0.826206715
12,59,5.7625,5.908163265,4.310917836,2.289411765,29.5,I used a stamp with a butterfly on it. I put the butterfly stamp on a letter which I wanted to send to my grandmother. I put it in my backpack to drop off at a mailbox but forgot about it for many months. I never sent the letter to my grandmother so I went to visit her instead.,2,2,4,2,1,2.2,2,21,1,14,8,22,0.77472425,53,0.75545761,0.877796653,0.886831335,0.763436947,0.941387981,0.844982105,0.773937137
13,47,4.830638298,6.142307692,4.336076451,2.287179487,34.15846995,When I received a letter from my sister asking how I was doing I wanted to send one back to her. I wrote to her telling her I was well. I put a stamp on the envelope and was able to send it out the next day.,2,1,2,2,2,1.8,2,18,1,9,8,17,0.691317692,38,0.681948666,0.859115768,0.870628006,0.647208515,0.942710857,0.800322362,0.763244367
14,50,3.445,6.091395349,4.545593031,2.305652174,45.86092715,i want to send a letter to my mom. She lives far away and i miss her a lot. Today i will write the letter and go to the post office to buy a stamp. She should receive the letter in a couple of days and will be very happy.,2,1,2,2,2,1.8,2,18,1,7,3,18,0.716778974,28,0.719035979,0.878769232,0.870648623,0.670491359,0.957686447,0.819326328,0.763665854
15,16,2.28,5.85,4.615184347,2.212142857,23.89333333,David needed to send a letter. He went to the post office to buy a stamp.,1,1,1,1,1,1,2,20,2,11,7,19,NA,46,0.763339536,0.884435702,0.891275896,0.719014221,0.954153927,0.842443857,0.743031986
