ID,prompt,rater_mean,rating_k,rating_j,rating_h,rating_n,word_count,readability,freq,aoa,prev,mtld,Story,DSI_ukwac,DSI_subtitle,DSI_baroni,DSI_glove,DSI_TASA,DSI_mean,DSI_bert
1,belief-faith-sing,2.75,2,3,3,3,86,3.229689922,5.892266667,5.090349747,2.323378378,54.69074646,"Being an atheist, I do not take part in religious ceremonies.  I simply do not have a belief in god.  My friends like to sing to express their faith.  I do admire their singing ability and their passion for their faith.  Maybe one day I will change my mind.  There seems to be a consensus that there is a god amonst my friends so I ask them for proof.  They just keep singing.  The singing goes on and on.  I attempt to join in since I",0.747807584,0.891598473,0.874667624,0.6951847,0.958694685,0.833590613,0.795477552
2,belief-faith-sing,1.5,1,2,2,1,41,2.28604878,5.974722222,4.636401129,2.342777778,47.068,I feel very strong with my ways and my belief.  My faith is very strong now. In the past it was very weak. Sometimes I am so grateful and I just start to sing. Especially when I hear my favorite songs.,0.703980512,0.874534305,0.869133557,0.684375402,0.956800983,0.817764952,0.765193302
3,belief-faith-sing,3,NA,2,4,3,41,3.08554878,5.979210526,4.295805005,2.319722222,82.32,My friend have belief in ghosts. He had extra faith in god also. One day he sing a song which he told us that the song was played everyday in his hear. And he says it is happening exactly 12 o'clock.,0.707968507,0.898193896,0.87299636,0.732080825,0.958882094,0.834024336,0.792720353
4,belief-faith-sing,2.5,3,2,3,2,33,1.624329004,5.829615385,4.632088268,2.277307692,76.23,"I am a nihilist.  My belief is that I believe in nothing.  I laugh as I walk past churches. Seeing all the people of faith, praying and singing.  For what? I say. Fools.",0.72441463,0.8703667,0.853042313,0.753133955,0.954720057,0.831135531,0.781509177
5,belief-faith-sing,2.75,2,3,2,4,70,8.092142857,5.804393939,4.827107837,2.31140625,76.22222222,"Kim is excited to sing with her choir and her churches annual ""belief fest"". She is somewhat nervous about singing lead but everyone has faith in her so she decides to have some in herself as well. She attends every practice and sometimes stays late in order to practice by herself. The day of the festival, she and her group end up having a great performance and winning the contest.",0.810232261,0.900970288,0.89984166,0.774678673,0.967945596,0.870733696,0.796356096
6,belief-faith-sing,3.5,3,2,4,5,67,4.782268657,5.984237288,4.837989315,2.353859649,27.91666667,"It was election day and I had faith that my candidate would win. With this belief, I started to sing a song of thankfulness. As I sat at my computer singing, I noticed that it was a tight race. I decided that I would not look at my computer for the rest of the day until the results came in. The results came in and he won!",0.769859868,0.900227764,0.889155156,0.745314949,0.94670845,0.850253237,0.794879145
7,belief-faith-sing,4,4,3,4,5,60,3.06,5.878363636,4.520222635,2.365614035,54.67449664,Once there was a village. There was no rain for so many months. They all decided to pray together. A small girl came with an umbrella and she said that there will be rain soon so I brought a umbrella. The girl had a strong faith and belief. At last it rained the village people sing in happiness and joy.,0.724947612,0.893064145,0.887359544,0.734746805,0.953936827,0.838810987,0.793659687
8,belief-faith-sing,2,1,3,2,2,83,4.164036145,6.048333333,4.684551087,2.303066667,65.04669203,"I have a lot of faith in God above. It is my belief that we will be saved from our sins if we accept the gift of salvation from him. He is my rock and my shelter from  the storm. I like to sing old gospel songs about my faith, it comforts me and lifts my spirits. I am nothing without the good Lord, but with him nothing is impossible. I pray that all the lost is found before it is to late.",0.763279334,0.900494982,0.880000869,0.769145204,0.940538391,0.850691756,0.794403243
9,belief-faith-sing,3.75,5,4,3,3,70,7.453626761,5.83171875,4.747342968,2.321333333,117.6233333,"I always hated going to church. It was always too hot, too loud, and my faith wasn't that strong either. My belief in God is complicated, and the tone-deaf choir trying to sing hymns and songs of worship are not doing Him any favors. I keep looking at my watch, almost hoping God would grant me telekinetic powers to move watch hands to 11:00 so we could leave already.",0.736677326,0.906400161,0.879238004,0.749078754,0.96187186,0.846653221,0.836508163
10,belief-faith-sing,4.25,4,4,5,4,96,3.27275,6.016593407,4.605982853,2.366136364,78.16504854,"This is the end she thought to herself. ""I must have faith"" she muttered. The power of belief was strong with her. As she drove her car to the funeral she decided to sing his favorite song. I'll never forget you she thought. ""I will love you always"" she said. As she pulled into the funeral home parking lot she was amazed by how crowded it was. Did they all show up for him she wondered. She was absolutely happy, more happy than she has been in a long time. Love truly is stronger than hat",0.705718914,0.887400732,0.875756949,0.731374448,0.96501866,0.83305394,0.802127499
11,belief-faith-sing,3,3,1,4,4,75,3.602333333,5.958923077,4.540262044,2.286984127,85.12,"I don't know where my died.  I sat at the grave of granny who insisted on a life of church, and belief in God.  We would sit for hours and sing hymns and enjoy the spirit but I wondered how it was so enjoyable for her and such a chore me.  I doubted my athiesm.  Is it true that she is looking down on me and seeing my doubt?  A chill went through my body.",0.777453527,0.906943457,0.885881385,0.798532435,0.968517254,0.867465612,0.812394106
12,belief-faith-sing,2.5,2,3,2,3,62,4.852451613,5.928166667,4.618027997,2.343275862,67.27,"The girl sang to the crowd with great passion.  She had been selected to sing because she had faith in herself.  Her belief that if she worked hard and practiced every day, she would be good enough to sing at the Grand Ole Opry.  She remembers all the screaming fans listening to her every note.  She was so thankful for the moment.",0.756965147,0.894015883,0.870420661,0.754179187,0.952926395,0.845701455,0.805779309
13,belief-faith-sing,2.25,1,3,2,3,53,5.464754717,5.607884615,4.848552778,2.341818182,47.90384615,Jill loves to sing. She loves singing during worship services at her church the most. When she is praising her God it strengthens her faith and touches her heart. She believes that God is listening to her singing and approving of her belief in him. This connection makes worship music her absolute favorite.,0.778534341,0.873819166,0.860807329,0.784179931,0.928552161,0.845178585,0.77110062
