n_id,type,src,question,prompt,response,id,target,participant,response_num
453,uses,hass17,What is a surprising use for a BOTTLE?,bottle,to catch an insect in,hass17_bottle-8f9afe,3.7,hass1737, 7
180,instances,setal08,What is a surprising thing that makes a NOISE?,noise,stomach (hungry),setal08_5.0-7905ba,1.3,setal085,1.0
1966,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,etch on a surface,hmsl_paperclip-f58dc8,3.0,hmslLr6WcnQu,4.0
11185,instances,setal08,What is a surprising thing that is ROUND?,round,toy,setal08_2.0-641dd1,1.0,setal08234,1.0
2862,uses,betal18,What is a surprising use for a ROPE?,rope,bracelet,betal18_rope-580881,1.0,betal182183,
2098,uses,betal18,What is a surprising use for a ROPE?,rope,jump,betal18_rope-3bfdf9,1.0,betal182065,
1379,uses,dod20,What is a surprising use for a SHOE?,shoe,make design in the sand,dod20_shoe-52d1c5,3.0,dod2013,10
2219,uses,dod20,What is a surprising use for a SHOVEL?,shovel,use it to pick up carry a dead animal away without touching it,dod20_shovel-1100f9,2.5,dod2027,7
10927,instances,setal08,What is a surprising thing that is ROUND?,round,erasers,setal08_2.0-28fa10,1.0,setal08229,3.0
4095,uses,dod20,What is a surprising use for PANTS?,pants,cat bed,dod20_pants-abd99e,4.0,dod2089,5
3345,instances,setal08,What is a surprising thing that makes a NOISE?,noise,thunder,setal08_5.0-7b62c6,1.3,setal0875,17.0
1086,uses,dod20,What is a surprising use for a BRICK?,brick,making building,dod20_brick-ee45c5,1.0,dod209,3
319,uses,snb17,What is a surprising use for a BOX?,box,a home,snb17_box-165bdd,1.3,snb1738,
2317,uses,snbmo09,What is a surprising use for a KNIFE?,knife,"to play darts, use a knife instead",snbmo09_2_knife-6ac4d5,1.5,snbmo09113,1
1165,uses,bs12,What is a surprising use for a BRICK?,brick,kill bugs with it,bs12_brick-8a9d83,1.0,bs1285,
3525,uses,dod20,What is a surprising use for a TABLE?,table,display,dod20_table-5b2992,1.7,dod2048,8
6440,uses,setal08,What is a surprising use for a KNIFE?,knife,take off acrylic nails,setal08_4.0-3a89f4,1.7,setal08137,5.0
625,instances,setal08,What is a surprising thing that is ROUND?,round,orange,setal08_2.0-561b22,1.0,setal0816,1.0
5722,uses,setal08,What is a surprising use for a BRICK?,brick,something to write on,setal08_1.0-363da0,1.7,setal08121,5.0
422,uses,betal18,What is a surprising use for a BOX?,box,Christmas present,betal18_box-f4f4f3,1.3,betal182047,
1347,uses,setal08,What is a surprising use for a BRICK?,brick,breaking it with a fist,setal08_1.0-c853b8,1.3,setal0831,2.0
218,uses,snb17,What is a surprising use for a BOX?,box,shoes,snb17_box-ac7a3c,1.3,snb1726,
3791,uses,hmsl,What is a surprising use for a BRICK?,brick,wall,hmsl_brick-625d6a,1.2,hmsl619m9P17,1.0
1886,instances,setal08,What is a surprising thing that makes a NOISE?,noise,heels on a pavement,setal08_5.0-b0e6de,1.7,setal0843,5.0
3897,uses,snbmo09,What is a surprising use for a BRICK?,brick,smash a window,snbmo09_1_brick-de5c77,1.5,snbmo09191,5
2156,uses,dod20,What is a surprising use for a ROPE?,rope,hang clothes,dod20_rope-a4f70c,2.0,dod2081,16
1676,uses,snbmo09,What is a surprising use for a BOX?,box,table,snbmo09_3_box-bc473e,1.7,snbmo0980,9
